imgpath;name;ferme;code;ville;poids;grasse;lat;lng
P1010462.JPG;XV du Pic;;81140;Penne;;;44.0766863;1.730843
P1010463.JPG;;Laize - Mas de Laval;12260;Salvignac Cajarc;;45;44.46197470403345;1.992346568911699
P1010464.JPG;Picodon;"GAEC ""Biquette de la Jaubernie""";7000;Coux;;;44.7358;4.62254
P1010465.JPG;Picodon;affinage SARL Peytot;7230;Planzolles;;;44.4856;4.15422
P1010466.JPG;Chèvre fermier du Pic Saint-Loup;La Chèvrerie;34380;Notre Dame de Londres;;31;43.8260009;3.777499
P1010467.JPG;Chèvre fermier;Ferme de la Pouège;31310;Gensac sur Garonne;;;43.2177;1.13252
P1010469.JPG;Chèvre au lait cru;Ferme de Peyret;82120;Gensac;;;43.9535799;0.9561022
P1010470.JPG;Le Coucouronnais;Fromagerie de la Laoune;7470;Coucouron;120;45;44.7993;3.9713
P1010471.JPG;Caprie;Fromagerie coopérative du chateau;;Puyreaux;;45;45.860786;0.2102767
P1010472.JPG;Le Soignon;;79400;Saint Maixent l'Ecole;180;45;46.4096855;-0.2019344
P1010473.JPG;;Laiterie coopérative;;La Mothe Saint Héray;150;50;46.3606454;-0.1119382
P1010474.JPG;Chevry;Poitouraine;;;180;50;;
P1010475.JPG;Le Cabrou;Bergelou;;;175;45;;
P1010476.JPG;;;;Reignac;;45;45.2341304;-0.5076743
P1010477.JPG;Pur Chèvre;Coopérative Sèvre et Belle;;Celles sur Belle;175;48;46.2398517;-0.21955643269729774
P1010478.JPG;Saint-Loup;Laiterie coopérative;;Lezay;200;45;46.2652441;-0.0103871
P1010479.JPG;;;;Saint-Varent;180;45;46.8892151;-0.2357384
P1010480.JPG;La Belle Poitevine;;53089;Laval;180;45;48.0763683;-0.7608901
P1010481.JPG;Chevrita;Fromagerie coopérative;;Aunac;175;45;45.91516675;0.25241943063982875
P1010482.JPG;Caprisi;Laiterie Coopérative Sèvre et Belle;;Celles sur Belle;200;45;46.2398517;-0.21955643269729774
P1010483.JPG;;;;;180;45;;
P1010484.JPG;Champichèvre;Laiterie coopérative;;Champigny sur Veude;180;45;47.0666526;0.323543
P1010485.JPG;Soignon;;;;;;;
P1010486.JPG;;;;;;;;
P1010487.JPG;;Laiterie coopérative;;Lezay;200;45;46.2652441;-0.0103871
P1010488.JPG;Riblaire;Laiterie de Riblaire;79330;Saint Varent;180;50;46.8892151;-0.2357384
P1010489.JPG;Le Bougon;Bougon;79800;La Mothe Bougon;180;;46.38238956420264;-0.09473122656773493
P1010490.JPG;;Fromagerie de Soignon;;Soignon;180;46;46.3879542;-0.1904068
P1010491.JPG;;;;;;;;
P1010492.JPG;La Mélusine;Poitouraine;86130;Dissay;180;25;46.69488300842844;0.41715736897791034
P1010493.JPG;Blanchette;Saint-Loup;17700;Sugères;175;45;45.6014501;3.4071026
P1010494.JPG;Le Chèvre;Soignon;;Soignon;180;45;46.3879542;-0.1904068
P1010495.JPG;;Uni-coop;37240;Ligueil;175;48;47.041306;0.8162905
